"BD Feedback: 
Reported to Merchant (Y/N)","BD Feedback: 
Price Match (Y/N)","BD Feedback
(if price match is not allowed)",BD feedback if any,Feedback Date,Report Date,responsible_bd,BU_Level_1,segment,AID,activity_name,PKG ID,package_name,SKU ID,sku_name,selling_currency,klook_cost,retail price,klook_price,klook price after auto priced,BML ,competitor_price,competitor_code,competitor_package,Pariticipation Date,URL,Country,Price diff.,Price variance%,Take Rate,TR after price matched
FALSE,FALSE,,,,2024-05-27,beiyi.lim@klook.com,Attractions,Segment 2,123,Bird Paradise Ticket in Singapore,220957,[Open Dated] Admission Ticket (Non-residents),828951291996,Adult,HKD,235,282,282,283,LOSE,267,kkday,Bird Paradise Admission Ticket,2024-05-27,https://www.kkday.com/en/product/2967,Singapore,-15,-5.32%,16.67%,11.99%
FALSE,FALSE,,,,2024-05-27,beiyi.lim@klook.com,Attractions,Segment 2,124,River Wonders Singapore Ticket,220960,[Open Dated] Admission Ticket (Non-residents) ,828951291999,Adult,KRW,36000,43300,43300,43100,LOSE,40700,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/129197,Singapore,-2600,-6.00%,16.86%,11.55%
FALSE,FALSE,,,,2024-05-27,beiyi.lim@klook.com,Attractions,Segment 1,141,Singapore Zoo Ticket With Tram Ride,198,[Open Dated] Admission Ticket with Tram Ride (Local Residents),8001410101,Adult,HKD,236,282,282,,LOSE,265,kkday,Singapore Zoo Ticket with Tram Ride,2024-05-27,https://www.kkday.com/en/product/100148,Singapore,-17,-6.03%,16.31%,10.94%
FALSE,FALSE,,,,2024-05-27,beiyi.lim@klook.com,Attractions,Segment 1,141,Singapore Zoo Ticket With Tram Ride,198,[Open Dated] Admission Ticket with Tram Ride (Local Residents),8001410101,Adult,MYR,142.49,170.15,170.15,,LOSE,153.9,traveloka,[Fixed-Date] Entrance Ticket - Includes Tram (Singapore Residents),2024-05-28,https://www.traveloka.com/en-sg/activities/singapore/product/singapore-zoo-tickets-8382168721460,Singapore,-16.25,-9.55%,16.26%,7.41%
FALSE,FALSE,,,,2024-05-27,beiyi.lim@klook.com,Attractions,Segment 1,141,Singapore Zoo Ticket With Tram Ride,220947,[Open Dated] Admission Ticket with Tram Ride (Non-residents),828951291994,Adult,MYR,141.65,170.15,170.15,170.99,LOSE,153.9,traveloka,[Fixed-Date] Entrance Ticket - Includes Tram (International Tourists),2024-05-27,https://www.traveloka.com/en-sg/activities/singapore/product/singapore-zoo-tickets-8382168721460,Singapore,-16.25,-9.55%,16.75%,7.96%
FALSE,FALSE,,,,2024-05-27,chloe.ang@klook.com,Attractions,Segment 1,130,Singapore Cable Car Sky Pass,186,Cable Car Sky Pass (Round Trip) ,8001300101,Adult,KRW,18100,35200,31700,,LOSE,22900,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/128019,Singapore,-8800,-27.76%,42.90%,20.96%
FALSE,FALSE,,,,2024-05-27,chloe.ang@klook.com,Attractions,Segment 1,130,Singapore Cable Car Sky Pass,393547,Cable Car Sky Pass (Mount Faber Line only),828951681264,Child,TWD,333,523,470,473,LOSE,437,kkday,Cable Car Sky Pass (Mount Faber Line - Round Trip),2024-05-27,https://www.kkday.com/en/product/17933,Singapore,-33,-7.02%,29.15%,23.80%
FALSE,FALSE,,,,2024-05-27,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68562,Canopy Park,825872000101,Adult,KRW,4800,11100,9100,,LOSE,5350,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/134061,Singapore,-3750,-41.21%,47.25%,10.28%
FALSE,FALSE,,,,2024-05-27,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68567,Mastercard® Canopy Bridge + Free Canopy Park ,825872000201,Adult,KRW,8400,14000,12000,,LOSE,9309,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/134061,Singapore,-2691,-22.43%,30.00%,9.76%
FALSE,FALSE,,,,2024-05-27,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68704,Hedge Maze + Free Canopy Park,825872000301,Adult,KRW,8400,14000,12000,,LOSE,9309,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/134061,Singapore,-2691,-22.43%,30.00%,9.76%
